requirement_id,gate,state,evidence_category,command_or_artifact,notes
ARCH-001,P0,pass,automated,python scripts/tasks.py check,"Both product suites pass from isolated temporary copies with peer source absent"
ARCH-003,P0,pass,automated,r2-runtime/tests/test_r2_scaffold.py,"NullSpatialProvider and SimSpatialProvider selected by configuration"
ARCH-004,P0,pass,automated,bat-space-modeler/tests/test_bsm_scaffold.py,"Generic SimMobileAgent selected without R2 import"
SAP-001,P0,pass,contract,integration-lab/tests/test_roundtrip.py,"Compatible version/capability session accepted; missing capability rejected"
SAP-002,P0,pass,simulation,python scripts/tasks.py sim-smoke,"Named right-handed odom frame and position_m preserved"
SAP-003,P0,pass,contract,protocol/tests/test_contract.py,"UTC monotonic clock ID source and uncertainty validated"
SAP-004,P0,pass,simulation,python scripts/tasks.py sim-smoke,"Pose frame provenance confidence and 6x6 covariance preserved"
SAP-005,P0,pass,contract,integration-lab/tests/test_roundtrip.py,"Identity idempotency deadline preconditions terminal result exercised"
SAP-006,P0,pass,contract,integration-lab/tests/test_roundtrip.py,"Duplicate suppression ordered sequence and cursor resume verified"
SAP-007,P0,pass,contract,protocol/tests/test_contract.py,"Unknown additive event field round-trips"
SAFE-001,P0,pass,simulation,integration-lab/tests/test_roundtrip.py,"Simulator starts stopped and restart does not reconstruct motion"
TEST-001,P0,pass,inspection,r2-runtime/src/r2_runtime/config.py,"Only SimDroidDriver selectable; no BLE implementation exists"
TEST-003,P0,pass,simulation,integration-lab/tests/test_roundtrip.py,"Duplicate stale and restart cases assert safe_hold final state"
R2-001,P1,in_progress,inspection,r2-runtime/src/r2_runtime/ble_owner.py,"Single serialized owner exists; process/real-BLE evidence remains HIL"
R2-002,P1,in_progress,simulation,python scripts/tasks.py p1-sim,"Capability report shape and simulated firmware evidence; actual R201 unverified"
R2-003,P1,in_progress,simulation,r2-runtime/tests/test_capability_probe.py,"Stationary advertised capabilities modeled; actual firmware remains unverified"
R2-004,P1,pass,simulation,r2-runtime/tests/test_capability_probe.py,"Injected link loss and reconnect remain stopped with no resume"
SAFE-003,P1,in_progress,inspection,scripts/hil_stationary_probe.py,"HIL separated and disabled; operator/HIL demonstration outstanding"
TEST-001,P1,pass,automated,r2-runtime/tests/test_capability_probe.py,"Unavailable hardware backend cannot fall through; general tests use simulation"
R2-001,P1,in_progress,automated,r2-runtime/tests/test_spherov2_backend.py,"Reviewed library surface routes through serialized owner; process/HIL proof pending"
R2-002,P1,in_progress,inspection,r2-runtime/hardware-provenance.toml,"0.12.1 source hash verified; actual firmware still unverified"
R2-003,P1,in_progress,automated,r2-runtime/src/r2_runtime/spherov2_backend.py,"Firmware battery stop and stationary surfaces adapted; actual device evidence pending"
SAFE-003,P1,in_progress,automated,r2-runtime/tests/test_hil_preflight.py,"Authorization identity and all stationary preflight conditions required; operator demonstration pending"
R2-002,P1,in_progress,automated,scripts/verify_hardware_lock.py,"Six CPython 3.11 Linux/aarch64 wheel hashes locked and verified; target-host import recorded separately"
R2-002,P1,in_progress,target_host,docs/phase-1-stationary-probe.md,"All six locked versions imported with Python 3.11.2 on Debian 13/aarch64; BLE and R2 not accessed"
SAFE-003,P1,in_progress,target_host,r2-runtime/hardware-provenance.toml,"Read-only Pi audit passed; controller remained powered off, non-pairable, and non-discovering"
R2-001,P1,in_progress,HIL_discovery,docs/phase-1-stationary-probe.md,"Controller software block recovered and restored; bounded scans found no R2 advertisement; no connection or command"
R2-001,P1,in_progress,HIL_discovery,r2-runtime/hardware-provenance.toml,"One R2 and one BB-8 advertisement classified by type; no identity persisted and neither device connected"
R2-002,P1,in_progress,HIL,evidence/hil/cycle-1-stop-timeout.json,"Firmware 7.0.101 and battery 3.77 V/ok observed; sanitized immutable report"
R2-003,P1,in_progress,HIL,evidence/hil/cycle-1-stop-timeout.json,"Identity battery telemetry and collision inventory observed; optional actions remain incomplete"
SAFE-003,P1,in_progress,HIL,r2-runtime/tests/test_capability_probe.py,"Stop timeout attempted once; BLE always disconnects; failed cycle records disconnected_stop_unconfirmed"
SAFE-003,P1,blocked,inspection,docs/phase-1-stationary-probe.md,"Pinned library waits for every command but public protocol permits optional replies; motion HIL blocked pending authorized stationary packet trace and independent emergency stop"
R2-001,P1,pass,simulation,r2-runtime/tests/test_session_recording.py,"Serialized owner lifecycle records ordered clocked transitions; replay rejects tampering and recorder failure cannot interrupt stop/disconnect"
R2-004,P1,pass,simulation,r2-runtime/tests/fixtures/sim-owner-lifecycle-session.json,"Reviewed stationary lifecycle fixture begins and ends offline with no movement or device identity"
SAFE-004,P1,blocked,inspection,docs/r201-stop-response-bench.md,"Bench procedure requires exact authorization containment keep-out battery/thermal/link checks and a demonstrated manufacturer-supported physical shutdown before one OFF/0 command"
SAFE-003,P1,pass,simulation,r2-runtime/tests/test_packet_trace.py,"Stop trace admits one DID 22/CID 1 TX and one correlated RX; retries payload fields time/sequence tampering and unsafe cleanup cannot produce success"
R2-002,P1,in_progress,automated,r2-runtime/tests/test_spherov2_backend.py,"Opt-in traced executor observes the pinned exact OFF/0 encode/execute path without changing flags; default backend remains public and untraced"
SAFE-004,P1,in_progress,automated,r2-runtime/tests/test_hil_preflight.py,"Bench runner refuses default and requires explicit authorization off-charger containment emergency path second go external arm token synchronized clock and post-test confirmation"
SAFE-003,P1,pass,simulation,r2-runtime/tests/test_packet_trace.py,"Confirmed response timeout remains stop_unconfirmed; unsafe battery missing operator confirmation and unrelated errors remain invalid"
SAFE-003,P1,pass,simulation,r2-runtime/tests/test_stop_bench.py,"Normal timeout unsafe-battery and battery-query-failure sessions each terminate offline with exactly one stop attempt and disconnect"
TEST-001,P1,pass,automated,.github/workflows/ci.yml,"Hosted Python 3.11 CI runs boundaries contracts tests simulations and docs; corrected remote run passed"
SAFE-003,P1,pass,automated,scripts/verify_ci_safety.py,"CI guard rejects HIL entry points hardware identity/arm variables Bluetooth SSH sudo and self-hosted runners"
TEST-001,P1,in_progress,hosted_ci,https://github.com/waywardtech/R2D2-lives/actions/runs/31550340841,"All steps ran but setup-python pip cache cleanup failed because dependency-free CI created no cache directory; corrected rerun pending"
TEST-001,P1,pass,hosted_ci,https://github.com/waywardtech/R2D2-lives/actions/runs/31550425423,"Corrected Python 3.11 simulation CI passed boundaries contracts 64 tests deterministic smoke P1 simulation docs evidence and CI safety guard"
SAFE-003,P1,pass,inspection,.github/workflows/ci.yml,"Official checkout and setup-python v6 tags resolved and pinned by full commit SHA; guard rejects floating action tags"
TEST-001,P1,pass,automated,scripts/verify_repository_hygiene.py,"Tracked secret/private-key BLE/device identity and credential-filename scan passes; all six locked dependencies have license notices; hosted run 31551031074 passed"
TEST-001,P1,pass,automated,python scripts/tasks.py quality,"Hash-locked Ruff format/lint and strict mypy pass across 36 source files; quality is required by check and test"
TEST-001,P1,pass,hosted_ci,https://github.com/waywardtech/R2D2-lives/actions/runs/31551472563,"Linux hosted run installed the exact hash-locked quality toolchain and passed quality boundaries 67 tests simulations docs and cleanup"
R2-003,P1,pass,simulation,python scripts/tasks.py encounter-sim,"Nearby BB-8 class triggers three seeded nonrepeating R2-only sounds and bounded neutral-restoring head gestures; no drive heading leg or animation primitive"
SAFE-003,P1,pass,automated,r2-runtime/tests/test_encounter_session.py,"No-droid unsafe-battery failed-chat privacy bounds restoration and default-denial cases end offline with no motion"
R2-003,P1,in_progress,HIL,scripts/hil_stationary_droid_encounter.py,"Separately armed charging-safe head/audio/LED spectator test implemented; live physical preflight and evidence pending"
