id,component,requirement,priority,verification,primary_evidence
ARCH-001,System,"R2 Runtime and BSM shall build test deploy and persist independently",Must,Automated boundary test,"P0/P6 standalone builds"
ARCH-002,System,"The first R2-BSM integration shall use the public SAP contract",Must,Contract and integration test,"INT-S01 through INT-S06"
ARCH-003,System,"R2 shall select another spatial provider without product-code changes",Must,Simulation/contract test,"R2-S08"
ARCH-004,System,"BSM shall select another mobile agent without mapping-core changes",Must,Simulation/contract test,"BSM-S06"
ARCH-005,System,"No product shall read or write the peer product database",Must,Static inspection/integration test,"Dependency and config audit"
SAP-001,Protocol,"SAP shall negotiate compatible semantic protocol and capabilities",Must,Conformance test,"P0 session matrix"
SAP-002,Protocol,"Public measurements shall use SI units and right-handed named frames",Must,Schema/property test,"Frame/unit conformance"
SAP-003,Protocol,"Time-sensitive evidence shall include UTC monotonic clock ID source and uncertainty",Must,Schema/contract test,"Event examples and conformance"
SAP-004,Protocol,"Pose and geometry estimates shall include provenance confidence and uncertainty",Must,Schema/property test,"Pose/transform validation"
SAP-005,Protocol,"Commands shall have identity idempotency deadline preconditions and terminal result",Must,Contract/fault test,"Command lifecycle suite"
SAP-006,Protocol,"Event delivery shall be resumable and tolerate duplicates/out-of-order delivery",Must,Contract/replay test,"Cursor and duplicate suite"
SAP-007,Protocol,"Unknown additive fields shall be tolerated within a compatible version",Should,Compatibility test,"Forward-compat fixtures"
SAP-008,Protocol,"Artifacts shall have media type size SHA-256 producer and lifecycle metadata",Must,Schema/integrity test,"Artifact upload/hash suite"
SAP-009,Protocol,"Arrival time shall not be substituted for measurement time",Must,Replay/property test,"Clock fault suite"
R2-001,R2 Runtime,"Exactly one process/module shall own the persistent R2 BLE connection",Must,Architecture/HIL test,"P1 connection probe"
R2-002,R2 Runtime,"The actual R201 firmware capabilities shall be probed and recorded before automation",Must,HIL demonstration,"R2-S01/P1"
R2-003,R2 Runtime,"The driver shall expose verified drive sensors collision battery head leg LED audio and animation capabilities where supported",Must,HIL/contract test,"Capability report"
R2-004,R2 Runtime,"Disconnect/reconnect shall not resume movement",Must,Fault/HIL test,"P1/P2 reconnect test"
R2-005,R2 Runtime,"All motion shall require a bounded local lease and watchdog",Must,Unit/component/HIL test,"Core safety matrix"
R2-006,R2 Runtime,"Stop status quiet cancel and safe hold shall not require an LLM or internet",Must,Degradation test,"R2-S03/R2-S07"
R2-007,R2 Runtime,"LLM output shall use typed high-level tools and never raw motors or leases",Must,Static/policy/adversarial test,"Agent tool allowlist suite"
R2-008,R2 Runtime,"Expressions shall compile semantic intent deterministically into verified bounded primitives",Must,Unit/HIL preview,"R2-S04"
R2-009,R2 Runtime,"Discovery shall use short supervised bounded segments and stop on repeated encounter or uncertainty",Must,Simulation/HIL demonstration,"R2-S05"
R2-010,R2 Runtime,"Patrol shall use an approved versioned route and pause on stale/degraded localization",Should,Simulation/real-room test,"Patrol scenario"
R2-011,R2 Runtime,"Talk-to-Tag shall link spoken referents to events poses entities and later map features with provenance",Must,Corpus/integration test,"R2-S06/INT-S06"
R2-012,R2 Runtime,"The Safari client shall provide status deadman manual control emergency stop tags and diagnostics over HTTPS",Must,Browser/accessibility/HIL test,"P2/P3 PWA suite"
R2-013,R2 Runtime,"The stock R201 charging command shall stage and request human USB connection not claim self-plugging",Must,Policy/UI test,"Charging staging scenario"
R2-014,R2 Runtime,"Pi health battery BLE collision and stuck signals shall be distinct and observable",Must,Component/HIL test,"Telemetry suite"
R2-015,R2 Runtime,"R2 shall operate in deterministic/manual degraded mode without BSM smolagents STT email or internet",Must,Degradation matrix,"R2-S07/R2 MVP gate"
BSM-001,Bat-Space Modeler,"BSM shall operate with SimMobileAgent and no R2 code installed",Must,Standalone simulation,"P4"
BSM-002,Bat-Space Modeler,"BSM shall support simulation offline replay stationary and live-agent evidence modes",Must,Component/simulation test,"P4 input-mode suite"
BSM-003,Bat-Space Modeler,"Microphone nodes shall report sample clock processing calibration and privacy state",Must,Contract/bench test,"P5 node enrollment"
BSM-004,Bat-Space Modeler,"Probe emissions shall report waveform hash actual timing gain pose and uncertainty",Must,Contract/bench test,"INT-S02"
BSM-005,Bat-Space Modeler,"The signal pipeline shall preserve raw evidence and version all derived stages",Must,Replay/data audit,"BSM-S08"
BSM-006,Bat-Space Modeler,"Blank-slate mapping shall establish or declare origin axes scale and time gauge",Must,Simulation/inspection,"P4 observability tests"
BSM-007,Bat-Space Modeler,"An optional blueprint shall be a weighted uncertain prior not ground truth",Must,Simulation test,"BSM-S05"
BSM-008,Bat-Space Modeler,"Map revisions shall be immutable content-addressed and evidence-linked",Must,Data/integrity test,"BSM-S08"
BSM-009,Bat-Space Modeler,"Unknown space shall remain distinct from free space",Must,Simulation/real-room test,"Surface/occupancy suite"
BSM-010,Bat-Space Modeler,"BSM shall issue time-bounded advisories rather than motor commands",Must,Static/contract test,"Provider conformance"
BSM-011,Bat-Space Modeler,"Poor clock geometry SNR or calibration shall degrade/abstain rather than publish false validity",Must,Fault/numerical test,"BSM-S02/S07"
BSM-012,Bat-Space Modeler,"Simulation and real-room accuracy claims shall remain separately labeled",Must,Release audit,"Gate reports"
SAFE-001,Safety,"R2 shall begin and restart stopped and never reconstruct active movement",Must,Fault/restart/HIL test,"P2"
SAFE-002,Safety,"Local stop dispatch shall meet defined P95 targets under Pi load",Must,Performance/HIL test,"P2 latency report"
SAFE-003,Safety,"Real motion tests shall require explicit operator authorization preflight and bounded envelope",Must,Test harness inspection/HIL,"HIL runner"
SAFE-004,Safety,"Operation shall follow R201 visibility keep-out temperature damage and charging constraints",Must,Operator demonstration/audit,"Preflight checklist"
SAFE-005,Safety,"Acoustic probes shall enforce calibrated gain duration repetition duty and quiet limits",Must,Bench/HIL test,"P5 acoustic safety"
SAFE-006,Safety,"Collision detection shall not be represented as guaranteed prevention",Must,Docs/UI/test audit,"Release claims"
SAFE-007,Safety,"Provider loss stale transforms and lease expiry shall lead to safe hold without auto-resume",Must,Integration fault test,"INT-S04"
SEC-001,Security,"Network APIs shall authenticate authorize validate rate-limit and protect against replay",Must,Security/contract test,"API security suite"
SEC-002,Security,"Persistent LAN devices should support TLS and mTLS with scoped credentials",Should,Deployment test,"P6 deployment profile"
SEC-003,Security,"Email web transcript and peer text shall be treated as untrusted non-executable data",Must,Adversarial/policy test,"Injection suite"
SEC-004,Security,"Secrets shall remain outside source logs continuity DB and browser configuration",Must,Secret/config audit,"CI secret scan"
PRIV-001,Privacy,"Microphone capture shall be local-first visibly indicated and mission/window bounded by default",Must,UI/node/ops test,"P3/P5 privacy controls"
PRIV-002,Privacy,"Raw audio conversation and external-content retention shall be configurable and deletable",Must,Data lifecycle test,"Retention/delete suite"
DATA-001,Continuity,"R2 and BSM shall use append-first versioned events and independently rebuildable views",Must,Migration/replay test,"Event rebuild suite"
DATA-002,Continuity,"Semantic entities shall retain aliases claims provenance confidence and revision history",Must,Component/corpus test,"R2-S06"
DATA-003,Continuity,"Spatial references shall retain original frame transform/map revision and uncertainty",Must,Property/integration test,"INT-S06"
DATA-004,Continuity,"Backups shall be consistent and periodically restore-tested",Must,Operations demonstration,"P2/P6 restore drill"
OPS-001,Operations,"Pi deployment shall preserve existing LAMP services and avoid implicit OS upgrades",Must,Install audit/demonstration,"P2 install"
OPS-002,Operations,"R2 BLE/audio/core shall be host-native systemd services with atomic release rollback",Must,Deployment/restart test,"P2/P3"
OPS-003,Operations,"Every release shall record build protocol config migrations dependencies evidence and hashes",Must,Release audit,"Release manifest"
TEST-001,Testing,"Simulation shall be the default and hosted CI shall not reach real motors",Must,CI/config test,"CI safety guard"
TEST-002,Testing,"Deterministic simulations shall record seeds and acoustic truth outside estimator input",Must,Simulation audit,"P4 fixtures"
TEST-003,Testing,"Safety tests shall assert final stop/safe state across duplicate timeout crash reconnect and stale cases",Must,Fault test,"Core safety matrix"
TEST-004,Testing,"Numerical evaluations shall report distributions failures abstentions and uncertainty coverage",Must,Benchmark audit,"P4/P5 reports"

